Discord Name,Sono crew id,Source,Body,Head,Mask,Mouth,accessorie,Pet,Front Distance
snappytux,4,VIP,blink-suit,fujingang,fujinmask,,,,wink
aummum,6,twitter,dollar-suit,middle parted purple,,zigar,,,
diewland,945,twitter,goldchainsuit,curly light blue,,space-food,,little-alien,
SP☆BOY,278,twitter,white-gold-dress,gold-headband,,flower,,Money-Cat,wink
0xTantop,870,Discord,white-fur,dinohead,,goldteeth,,,
Nat,197,VIP,blink-suit,Turban,,Arab-Beard,mask,,
MrAkkapolr,3,VIP,diamond-dress,coconut-pink,leaf,Diamond-cheek,,,zerogravity
Fomopunk,106,VIP,dollar-shirt,diamond-hair,,sharp teeth,,leprechaun,wink
Fomopunk,600,vip,goldchainsuit,bald,wooden,Arab-Beard,,,
0x4dp || Tabi  ||  $FYN,597,Bored twitter,dollar-suit,DarkKing,,moustache,,,
0xmdmtcok || Tabi 🟧,734,Bored twitter,Red-Fur,DarkAlice,Furry,smile_g,,Money-Cat,
Coco Ape,794,Bored twitter,white-fur,legendred,robot,zigar,,,wink
0xkntlsy || Tabi,642,Bored twitter,white-gold-dress,blue-jewel,,Diamond-cheek,mask,,
Naja Tabi  OwO,72,Bored twitter,blink-suit,dreadlocks,face-hugger,vampire,,leprechaun,
Hakuru,41,Bored twitter,dollar-suit,middle parted purple,fire,Arab-Beard,,,
B42 is Bored | Tabi,200,Bored twitter,goldchainsuit,curly blond,,,cyborg,,wink
"Thao_Airdroper",828,Bored twitter,dollar-shirt,catear,,golden-spoon,,Money-Cat,
Coco Ape,314,Bored twitter,white-fur,Turban,,goldteeth,cyborg,,
Sonoson,277,Artist,dollar-suit,horsehead,,,,,wink
